T (K),P (kPa),Vapor fract
540,1191,1.0
546,1191,1.0
552,1191,1.0
558,1191,1.0
564,1191,1.0
570,1191,1.0
576,1191,1.0
582,1191,1.0
588,1191,1.0
594,1191,1.0
276,1310,1.0
282,1310,1.0
288,1310,1.0
294,1310,1.0
300,1310,1.0
306,1310,1.0
312,1310,1.0
318,1310,1.0
324,1310,1.0
330,1310,1.0
336,1310,1.0
342,1310,1.0
348,1310,1.0
354,1310,1.0
360,1310,1.0
366,1310,1.0
372,1310,1.0
378,1310,1.0
384,1310,1.0
390,1310,1.0
396,1310,1.0
402,1310,1.0
408,1310,1.0
414,1310,1.0
420,1310,1.0
426,1310,1.0
432,1310,1.0
438,1310,1.0
444,1310,1.0
450,1310,1.0
456,1310,1.0
462,1310,1.0
468,1310,1.0
474,1310,1.0
480,1310,1.0
486,1310,1.0
492,1310,1.0
498,1310,1.0
504,1310,1.0
510,1310,1.0
516,1310,1.0
522,1310,1.0
528,1310,1.0
534,1310,1.0
540,1310,1.0
546,1310,1.0
552,1310,1.0
558,1310,1.0
564,1310,1.0
570,1310,1.0
576,1310,1.0
582,1310,1.0
588,1310,1.0
594,1310,1.0
282,1429,1.0
288,1429,1.0
294,1429,1.0
300,1429,1.0
306,1429,1.0
312,1429,1.0
318,1429,1.0
324,1429,1.0
330,1429,1.0
336,1429,1.0
342,1429,1.0
348,1429,1.0
354,1429,1.0
360,1429,1.0
366,1429,1.0
372,1429,1.0
378,1429,1.0
384,1429,1.0
390,1429,1.0
396,1429,1.0
402,1429,1.0
408,1429,1.0
414,1429,1.0
420,1429,1.0
426,1429,1.0
432,1429,1.0
438,1429,1.0
444,1429,1.0
450,1429,1.0
456,1429,1.0
462,1429,1.0
468,1429,1.0
474,1429,1.0
480,1429,1.0
486,1429,1.0
492,1429,1.0
498,1429,1.0
504,1429,1.0
510,1429,1.0
516,1429,1.0
522,1429,1.0
528,1429,1.0
534,1429,1.0
540,1429,1.0
546,1429,1.0
552,1429,1.0
558,1429,1.0
564,1429,1.0
570,1429,1.0
576,1429,1.0
582,1429,1.0
588,1429,1.0
594,1429,1.0
282,1548,1.0
288,1548,1.0
294,1548,1.0
300,1548,1.0
306,1548,1.0
312,1548,1.0
318,1548,1.0
324,1548,1.0
330,1548,1.0
336,1548,1.0
342,1548,1.0
348,1548,1.0
354,1548,1.0
360,1548,1.0
366,1548,1.0
372,1548,1.0
378,1548,1.0
384,1548,1.0
390,1548,1.0
396,1548,1.0
402,1548,1.0
408,1548,1.0
414,1548,1.0
420,1548,1.0
426,1548,1.0
432,1548,1.0
438,1548,1.0
444,1548,1.0
450,1548,1.0
456,1548,1.0
462,1548,1.0
468,1548,1.0
474,1548,1.0
480,1548,1.0
486,1548,1.0
492,1548,1.0
498,1548,1.0
504,1548,1.0
510,1548,1.0
516,1548,1.0
522,1548,1.0
528,1548,1.0
534,1548,1.0
540,1548,1.0
546,1548,1.0
552,1548,1.0
558,1548,1.0
564,1548,1.0
570,1548,1.0
576,1548,1.0
582,1548,1.0
588,1548,1.0
594,1548,1.0
282,1667,1.0
288,1667,1.0
294,1667,1.0
300,1667,1.0
306,1667,1.0
312,1667,1.0
318,1667,1.0
324,1667,1.0
330,1667,1.0
